location,day,open,close
stateSt,sunday,10:30,17:00
stateSt,monday,9:00,19:00
stateSt,tuesday,9:00,19:00
stateSt,wednesday,9:00,19:00
stateSt,thursday,9:00,19:00
stateSt,friday,9:00,17:30
stateSt,saturday,9:00,17:30
hilldale,sunday,11:00,18:00
hilldale,monday,10:00,20:00
hilldale,tuesday,10:00,20:00
hilldale,wednesday,10:00,20:00
hilldale,thursday,10:00,20:00
hilldale,friday,10:00,20:00
hilldale,saturday,10:00,20:00
hslc,sunday,closed,closed
hslc,monday,10:00,20:00
hslc,tuesday,10:00,20:00
hslc,wednesday,10:00,20:00
hslc,thursday,10:00,20:00
hslc,friday,10:00,20:00
hslc,saturday,closed,closed
brookfield,sunday,11:00,18:00
brookfield,monday,10:00,20:00
brookfield,tuesday,10:00,20:00
brookfield,wednesday,10:00,20:00
brookfield,thursday,10:00,20:00
brookfield,friday,10:00,20:00
brookfield,saturday,10:00,20:00
warehouse,sunday,closed,closed
warehouse,monday,10:00,20:00
warehouse,tuesday,10:00,20:00
warehouse,wednesday,10:00,20:00
warehouse,thursday,10:00,20:00
warehouse,friday,10:00,20:00
warehouse,saturday,closed,closed